Address,Unit Number,Unit Size,Gross Rent,Net Rent,Additional Rent
The Hive 155 Queens Quay E Toronto M5A 1B6,3,"30,950 sq. ft.",Price is Negotiable,Price is Negotiable,$24.23/sq. ft.
3381 Steeles Avenue E North York M2H 3S4,3-310,"3,487 sq. ft.",$40.91/sq. ft.,$22/sq. ft. net,$18.91/sq. ft.
Celestica 12 Concorde Place North York M3C 3R8,2-202,"11,028 sq. ft.",Call for Information,Call for Information,N/A
Celestica 12 Concorde Place North York M3C 3R8,2-204A,"6,657 sq. ft.",Call for Information,Call for Information,N/A
Yonge Corporate Centre I 4100 Yonge Street North York M2P 2B5,506,"2,272 sq. ft.",Price is Negotiable,Price is Negotiable,$23.05/sq. ft.
Yonge Corporate Centre I 4100 Yonge Street North York M2P 2B5,507,"1,774 sq. ft.",Price is Negotiable,Price is Negotiable,$23.05/sq. ft.
1 Vulcan Street Etobicoke M9W 1L3,BLDG,"11,608 sq. ft.",$13.25/sq. ft.,$6.95/sq. ft. net,$6.30/sq. ft.
2200 Eglinton Avenue E Toronto M1L 2N3,1-100,"35,379 sq. ft.",$24.50/sq. ft.,$8/sq. ft. net,$16.50/sq. ft.
2200 Eglinton Avenue E Toronto M1L 2N3,2-200,"30,030 sq. ft.",$24.50/sq. ft.,$8/sq. ft. net,$16.50/sq. ft.
2200 Eglinton Avenue E Toronto M1L 2N3,N/A,N/A,N/A,N/A,N/A
Scotia Plaza 40 King Street W Toronto M5H 3Y2,32-3207,"22,239 sq. ft.",Price is Negotiable,Price is Negotiable,$31.64/sq. ft.
Scotia Plaza 40 King Street W Toronto M5H 3Y2,34-3402,"4,974 sq. ft.",Price is Negotiable,Price is Negotiable,$31.64/sq. ft.
160 Springhurst Avenue Toronto M6K 1C2,02-201,"1,218 sq. ft.",$30/sq. ft.,Price is Negotiable,N/A
160 Springhurst Avenue Toronto M6K 1C2,02-209,"5,275 sq. ft.",$30/sq. ft.,Price is Negotiable,N/A
"1266 Queen Street W, Toronto",1,"16,720 sq. ft.",Price is Negotiable,Price is Negotiable,$15/sq. ft.
"1266 Queen Street W, Toronto",2,"16,720 sq. ft.",Price is Negotiable,Price is Negotiable,$15/sq. ft.
"1266 Queen Street W, Toronto",3,"16,720 sq. ft.",Price is Negotiable,Price is Negotiable,$15/sq. ft.
"1266 Queen Street W, Toronto",4,"16,720 sq. ft.",Price is Negotiable,Price is Negotiable,$15/sq. ft.
Yonge Eglinton Centre 20 Eglinton Avenue W Toronto M4R 1K8,11-1107,889 sq. ft.,$49.60/sq. ft.,$25/sq. ft. net,$24.60/sq. ft.
211 Consumers Road North York M2J 4G8,200,"9,354 sq. ft.",$24/sq. ft.,Price is Negotiable,N/A
Concorde Corporate Centre Ii 3 Concorde Gate North York M3C 3N7,1-100,"6,000 sq. ft.",Call for Information,Call for Information,N/A
Concorde Corporate Centre Ii 3 Concorde Gate North York M3C 3N7,4-401,"3,283 sq. ft.",Call for Information,Call for Information,N/A
Concorde Corporate Centre Ii 3 Concorde Gate North York M3C 3N7,3-300,"24,000 sq. ft.",Call for Information,Call for Information,N/A
Gm Financial 2001 Sheppard Avenue E North York M2J 4Z8,2-204,"2,317 sq. ft.",$34.75/sq. ft.,$16/sq. ft. net,$18.75/sq. ft.
5535 Eglinton Avenue W Mississauga M9W 5N1,218,"2,830 sq. ft.",$21.97/sq. ft.,$14.50/sq. ft. net,$7.47/sq. ft.
511 Mcnicoll Avenue North York M2H 2C9,2-204,"1,156 sq. ft.",$15.44/sq. ft.,$9.75/sq. ft. net,$5.69/sq. ft.
300 Consilium Place Scarborough M1H 3G2,2-200,"19,945 sq. ft.",Price is Negotiable,Price is Negotiable,$19.99/sq. ft.
300 Consilium Place Scarborough M1H 3G2,3-300,"14,996 sq. ft.",Price is Negotiable,Price is Negotiable,$19.99/sq. ft.
300 Consilium Place Scarborough M1H 3G2,4-400,"19,240 sq. ft.",Price is Negotiable,Price is Negotiable,$19.99/sq. ft.
300 Consilium Place Scarborough M1H 3G2,5-500,"19,240 sq. ft.",Price is Negotiable,Price is Negotiable,$19.99/sq. ft.
300 Consilium Place Scarborough M1H 3G2,6-600,"19,240 sq. ft.",Price is Negotiable,Price is Negotiable,$19.99/sq. ft.
300 Consilium Place Scarborough M1H 3G2,7-700,"19,240 sq. ft.",Price is Negotiable,Price is Negotiable,$19.99/sq. ft.
300 Consilium Place Scarborough M1H 3G2,8-800,"19,240 sq. ft.",Price is Negotiable,Price is Negotiable,$19.99/sq. ft.
300 Consilium Place Scarborough M1H 3G2,9-900,"19,240 sq. ft.",Price is Negotiable,Price is Negotiable,$19.99/sq. ft.
300 Consilium Place Scarborough M1H 3G2,10-1000,"19,955 sq. ft.",Price is Negotiable,Price is Negotiable,$19.99/sq. ft.
300 Consilium Place Scarborough M1H 3G2,12-1200,"19,955 sq. ft.",Price is Negotiable,Price is Negotiable,$19.99/sq. ft.
6300 Viscount Road Mississauga L4V 1H3,Unit 1,"15,000 sq. ft.",$19.50/sq. ft.,$15.50/sq. ft. net,$4/sq. ft.
Cliffcrest Plaza 2965 3049 Kingston Road Toronto Canada,Unit 2001-2008,888 sq. ft.,$26.53/sq. ft.,$15/sq. ft. net,$11.53/sq. ft.
Don Mills Office Centre 1090 Don Mills Road North York M3C 3R6,3-301,"7,767 sq. ft.",$33.09/sq. ft.,$15/sq. ft. net,$18.09/sq. ft.
Don Mills Office Centre 1090 Don Mills Road North York M3C 3R6,3-305,"2,625 sq. ft.",$33.09/sq. ft.,$15/sq. ft. net,$18.09/sq. ft.
Don Mills Office Centre 1090 Don Mills Road North York M3C 3R6,4-400,"2,497 sq. ft.",$33.09/sq. ft.,$15/sq. ft. net,$18.09/sq. ft.
4000 Victoria Park Avenue North York M2H 3S7,1,"27,981 sq. ft.",$25.61/sq. ft.,$13/sq. ft. net,$12.61/sq. ft.
4000 Victoria Park Avenue North York M2H 3S7,2,"27,378 sq. ft.",$25.61/sq. ft.,$13/sq. ft. net,$12.61/sq. ft.
Westford Centre 2131 Lawrence Avenue E Scarborough M1R 5G4,3-300C,"2,817 sq. ft.",Call for Information,Call for Information,N/A
Westford Centre 2131 Lawrence Avenue E Scarborough M1R 5G4,3-300D,"2,456 sq. ft.",Call for Information,Call for Information,N/A
Westford Centre 2131 Lawrence Avenue E Scarborough M1R 5G4,3-300A,"8,018 sq. ft.",Call for Information,Call for Information,N/A
4651 Sheppard Avenue E Toronto M1S 3V4,2-205,"1,338 sq. ft.",$27.50/sq. ft.,$15/sq. ft. net,$12.50/sq. ft.
4651 Sheppard Avenue E Toronto M1S 3V4,2-207,658 sq. ft.,$27.50/sq. ft.,$15/sq. ft. net,$12.50/sq. ft.
The Heritage Phase 1 5025 Orbitor Drive Mississauga L4W 4Y5,6-300,"3,053 sq. ft.",$23.45/sq. ft.,$12/sq. ft. net,$11.45/sq. ft.
163 Queen Street E Toronto M5A 1S1,4,"10,186 sq. ft.",Call for Information,Call for Information,N/A
Morrison Hershfield 235 Yorkland Boulevard North York M2J 4Y8,1002/1002A,"4,097 sq. ft.",Call for Information,Call for Information,N/A
10 King Street E Toronto M5C 1C3,04-401,"1,848 sq. ft.",$59.28/sq. ft.,$32/sq. ft. net,$27.28/sq. ft.
10 King Street E Toronto M5C 1C3,05-501,"1,441 sq. ft.",$59.28/sq. ft.,$32/sq. ft. net,$27.28/sq. ft.
370 King Street W Toronto M5V 1J9,3,"9,246 sq. ft.",Call for Information,Call for Information,N/A
370 King Street W Toronto M5V 1J9,03-300,"10,596 sq. ft.",Price is Negotiable,Price is Negotiable,$18.99/sq. ft.
213 Sterling Road Toronto M6R 2B2,202,"4,500 sq. ft.",Price is Negotiable,Price is Negotiable,N/A
213 Sterling Road Toronto M6R 2B2,2E,"1,400 sq. ft.",Price is Negotiable,Price is Negotiable,N/A
213 Sterling Road Toronto M6R 2B2,1L,"1,800 sq. ft.",Price is Negotiable,Price is Negotiable,N/A
213 Sterling Road Toronto M6R 2B2,1G,"4,600 sq. ft.",Price is Negotiable,Price is Negotiable,N/A
600 Alden Road Markham L3R 0E7,3-306,"3,343 sq. ft.",$22.25/sq. ft.,$11.75/sq. ft. net,$10.50/sq. ft.
Alpha Corporate Centre 1262 Don Mills Road North York M3B 2W6,1-111,"1,790 sq. ft.",$35.68/sq. ft.,$22/sq. ft. net,$13.68/sq. ft.
Alpha Corporate Centre 1262 Don Mills Road North York M3B 2W6,2-207,895 sq. ft.,$35.68/sq. ft.,$22/sq. ft. net,$13.68/sq. ft.
Alpha Corporate Centre 1262 Don Mills Road North York M3B 2W6,1-101,"1,336 sq. ft.",$35.68/sq. ft.,$22/sq. ft. net,$13.68/sq. ft.
Alpha Corporate Centre 1262 Don Mills Road North York M3B 2W6,2-209,"2,169 sq. ft.",$35.68/sq. ft.,$22/sq. ft. net,$13.68/sq. ft.
Alpha Corporate Centre 1262 Don Mills Road North York M3B 2W6,Rear Bldg. GF,"11,000 sq. ft.",$25.68/sq. ft.,$12/sq. ft. net,$13.68/sq. ft.
Alpha Corporate Centre 1262 Don Mills Road North York M3B 2W6,Rear Bldg. 2nd Floor,"11,000 sq. ft.",$25.68/sq. ft.,$12/sq. ft. net,$13.68/sq. ft.
30 St Patrick Street Toronto M5T 3A3,8,"3,025 sq. ft.",Price is Negotiable,Price is Negotiable,$17.50/sq. ft.
8001 Weston Road Vaughan Lyl 9C8,400,"5,162 sq. ft.",Call for Information,Call for Information,N/A
Bond Business Centre 1370 Don Mills Road North York M3B 3N7,2-200/212,"2,831 sq. ft.",Call for Information,Call for Information,N/A
Bond Business Centre 1370 Don Mills Road North York M3B 3N7,2-212,"2,166 sq. ft.",Call for Information,Call for Information,N/A
Bond Business Centre 1370 Don Mills Road North York M3B 3N7,2-200,665 sq. ft.,Call for Information,Call for Information,N/A
Bond Business Centre 1370 Don Mills Road North York M3B 3N7,2-205,"1,670 sq. ft.",Call for Information,Call for Information,N/A
77 Browns Line Toronto M8W 3S2,2-200,"10,633 sq. ft.",$15.09/sq. ft.,$11.50/sq. ft. net,$3.59/sq. ft.
150 Rivermede Road Vaughan L4K 3M8,2-202,"4,457 sq. ft.",Call for Information,Call for Information,N/A
270 The Kingsway Toronto M9A 3T7,2-205,"2,065 sq. ft.",Price is Negotiable,Price is Negotiable,$29.88/sq. ft.
270 The Kingsway Toronto M9A 3T7,2-204,"2,585 sq. ft.",$34.88/sq. ft.,$5/sq. ft. net,$29.88/sq. ft.
270 The Kingsway Toronto M9A 3T7,2-202,"1,120 sq. ft.",Price is Negotiable,Price is Negotiable,$29.88/sq. ft.
270 The Kingsway Toronto M9A 3T7,2-200,"1,828 sq. ft.",Price is Negotiable,Price is Negotiable,$29.88/sq. ft.
105 Gordon Baker Road North York M2H 3P8,8-800,"4,502 sq. ft.",Call for Information,Call for Information,N/A
105 Gordon Baker Road North York M2H 3P8,5-510,"6,444 sq. ft.",Call for Information,Call for Information,N/A
105 Gordon Baker Road North York M2H 3P8,5-500,"9,232 sq. ft.",Call for Information,Call for Information,N/A
80 North Queen Street Etobicoke M8Z 5Z6,302,"5,213 sq. ft.",$25.45/sq. ft.,$13/sq. ft. net,$12.45/sq. ft.
243 Consumers Road North York M2J 4W8,2-201,"3,994 sq. ft.",$33.49/sq. ft.,$15/sq. ft. net,$18.49/sq. ft.
Atria Iii 2225 Sheppard Avenue E North York M2J 5C2,8-800,"19,900 sq. ft.",$35.41/sq. ft.,$16.50/sq. ft. net,$18.91/sq. ft.
Atria Iii 2225 Sheppard Avenue E North York M2J 5C2,9-903,"2,928 sq. ft.",$35.41/sq. ft.,$16.50/sq. ft. net,$18.91/sq. ft.
Atria Iii 2225 Sheppard Avenue E North York M2J 5C2,9-904,"1,620 sq. ft.",$37.41/sq. ft.,$18.50/sq. ft. net,$18.91/sq. ft.
Atria Iii 2225 Sheppard Avenue E North York M2J 5C2,10-1011,"2,971 sq. ft.",$35.41/sq. ft.,$16.50/sq. ft. net,$18.91/sq. ft.
Atria Iii 2225 Sheppard Avenue E North York M2J 5C2,12-1200,"19,504 sq. ft.",$35.41/sq. ft.,$16.50/sq. ft. net,$18.91/sq. ft.
Atria Iii 2225 Sheppard Avenue E North York M2J 5C2,15-1500,"2,454 sq. ft.",$35.41/sq. ft.,$16.50/sq. ft. net,$18.91/sq. ft.
Atria Iii 2225 Sheppard Avenue E North York M2J 5C2,15-1501,"8,008 sq. ft.",$35.41/sq. ft.,$16.50/sq. ft. net,$18.91/sq. ft.
Atria Iii 2225 Sheppard Avenue E North York M2J 5C2,15-1502,"3,576 sq. ft.",$35.41/sq. ft.,$16.50/sq. ft. net,$18.91/sq. ft.
Atria Iii 2225 Sheppard Avenue E North York M2J 5C2,15-1503,"3,086 sq. ft.",$35.41/sq. ft.,$16.50/sq. ft. net,$18.91/sq. ft.
Atria Iii 2225 Sheppard Avenue E North York M2J 5C2,15-1504,"2,394 sq. ft.",$35.41/sq. ft.,$16.50/sq. ft. net,$18.91/sq. ft.
Atria Iii 2225 Sheppard Avenue E North York M2J 5C2,17-1701,"2,380 sq. ft.",$35.41/sq. ft.,$16.50/sq. ft. net,$18.91/sq. ft.
4824 Yonge Street Toronto M2N 5M9,2nd Floor,"5,800 sq. ft.",$40/sq. ft.,Price is Negotiable,N/A
Concordia Corporate Centre 7077 Keele Street Vaughan L4K 0B6,2-200,"7,613 sq. ft.",$35.90/sq. ft.,$23/sq. ft. net,$12.90/sq. ft.
Concordia Corporate Centre 7077 Keele Street Vaughan L4K 0B6,3-300,"21,378 sq. ft.",$35.90/sq. ft.,$23/sq. ft. net,$12.90/sq. ft.
Concordia Corporate Centre 7077 Keele Street Vaughan L4K 0B6,4-400,"21,368 sq. ft.",$35.90/sq. ft.,$23/sq. ft. net,$12.90/sq. ft.
2330 Kennedy Road Toronto M1T 3H1,5-500,"11,682 sq. ft.",$31.60/sq. ft.,$16/sq. ft. net,$15.60/sq. ft.
2330 Kennedy Road Toronto M1T 3H1,6-600,"11,682 sq. ft.",$31.60/sq. ft.,$16/sq. ft. net,$15.60/sq. ft.
Centennial Centre 5407 Eglinton Avenue W Etobicoke M9C 5K6,2-203,"1,267 sq. ft.",$27.71/sq. ft.,$14.50/sq. ft. net,$13.21/sq. ft.
1655 Dupont Street Toronto M6P 3S9,01-B,"2,578 sq. ft.",$38.50/sq. ft.,Price is Negotiable,N/A
1655 Dupont Street Toronto M6P 3S9,01-C,728 sq. ft.,$38.50/sq. ft.,Price is Negotiable,N/A
1225 Kennedy Road Scarborough M1P 4Y1,2-200,"10,000 sq. ft.",$15.50/sq. ft.,$9/sq. ft. net,$6.50/sq. ft.
7625 Keele Street Vaughan L4K 1Y4,Floor 1,"1,100 sq. ft.",Call for Information,Call for Information,N/A
7625 Keele Street Vaughan L4K 1Y4,Floor 1,"16,488 sq. ft.",Call for Information,Call for Information,N/A
7625 Keele Street Vaughan L4K 1Y4,Floor 2,"16,488 sq. ft.",Call for Information,Call for Information,N/A
The Robertson Building 215 Spadina Avenue Toronto M5T 2C7,B102,119 sq. ft.,Price is Negotiable,Price is Negotiable,$17.11/sq. ft.
The Robertson Building 215 Spadina Avenue Toronto M5T 2C7,LL-B098,193 sq. ft.,Price is Negotiable,Price is Negotiable,$17.11/sq. ft.
The Robertson Building 215 Spadina Avenue Toronto M5T 2C7,LL-B106,814 sq. ft.,Price is Negotiable,Price is Negotiable,$17.11/sq. ft.
2206 Eglinton Avenue E Scarborough M1L 4S7,2-203,"8,762 sq. ft.",Call for Information,Call for Information,N/A
2206 Eglinton Avenue E Scarborough M1L 4S7,3-300,"24,332 sq. ft.",Call for Information,Call for Information,N/A
2206 Eglinton Avenue E Scarborough M1L 4S7,2-205,"1,713 sq. ft.",Call for Information,Call for Information,N/A
2206 Eglinton Avenue E Scarborough M1L 4S7,1-110,"9,091 sq. ft.",Call for Information,Call for Information,N/A
2206 Eglinton Avenue E Scarborough M1L 4S7,1-152,721 sq. ft.,Call for Information,Call for Information,N/A
2206 Eglinton Avenue E Scarborough M1L 4S7,1-116,"1,668 sq. ft.",Call for Information,Call for Information,N/A
2206 Eglinton Avenue E Scarborough M1L 4S7,1-122,"1,523 sq. ft.",Call for Information,Call for Information,N/A
A Mantella Sons Ltd 6601 Goreway Mississauga L4V 1V6,1-100,"4,400 sq. ft.",$12/sq. ft.,Price is Negotiable,N/A
150 Commerce Valley Drive W Thornhill L3T 7Z3,6-603,"2,099 sq. ft.",$34.33/sq. ft.,$19.50/sq. ft. net,$14.83/sq. ft.
2305 Stanfield Road Mississauga L4Y 1R6,Building,"13,304 sq. ft.",$27.75/sq. ft.,$20/sq. ft. net,$7.75/sq. ft.
4051 Gordon Baker Road Scarborough M1W 2P3,Unit C,"12,140 sq. ft.",$13.95/sq. ft.,$10/sq. ft. net,$3.95/sq. ft.
4051 Gordon Baker Road Scarborough M1W 2P3,Unit B,"11,500 sq. ft.",$16.95/sq. ft.,$13/sq. ft. net,$3.95/sq. ft.
2202 Eglinton Avenue E Scarborough M1L 2N3,1-102,"3,327 sq. ft.",$24.50/sq. ft.,$8/sq. ft. net,$16.50/sq. ft.
2202 Eglinton Avenue E Scarborough M1L 2N3,1-105,"7,917 sq. ft.",$24.50/sq. ft.,$8/sq. ft. net,$16.50/sq. ft.
2202 Eglinton Avenue E Scarborough M1L 2N3,2-200,"11,608 sq. ft.",$24.50/sq. ft.,$8/sq. ft. net,$16.50/sq. ft.
2202 Eglinton Avenue E Scarborough M1L 2N3,2-201,"7,739 sq. ft.",$24.50/sq. ft.,$8/sq. ft. net,$16.50/sq. ft.
21 Dundas Square Toronto M5B 1B7,8,"6,466 sq. ft.",Price is Negotiable,Price is Negotiable,$24.50/sq. ft.
21 Dundas Square Toronto M5B 1B7,14,"4,329 sq. ft.",Price is Negotiable,Price is Negotiable,$24.50/sq. ft.
21 Dundas Square Toronto M5B 1B7,15,"4,247 sq. ft.",Price is Negotiable,Price is Negotiable,$24.50/sq. ft.
21 Dundas Square Toronto M5B 1B7,16,"2,393 sq. ft.",Price is Negotiable,Price is Negotiable,$24.50/sq. ft.
21 Dundas Square Toronto M5B 1B7,2,"6,245 sq. ft.",Price is Negotiable,Price is Negotiable,$24.50/sq. ft.
21 Dundas Square Toronto M5B 1B7,3,"6,294 sq. ft.",Price is Negotiable,Price is Negotiable,$24.50/sq. ft.
21 Dundas Square Toronto M5B 1B7,4,"6,331 sq. ft.",Price is Negotiable,Price is Negotiable,$24.50/sq. ft.
21 Dundas Square Toronto M5B 1B7,5,"6,357 sq. ft.",Price is Negotiable,Price is Negotiable,$24.50/sq. ft.
21 Dundas Square Toronto M5B 1B7,7,"6,396 sq. ft.",Price is Negotiable,Price is Negotiable,$24.50/sq. ft.
21 Dundas Square Toronto M5B 1B7,9,"6,470 sq. ft.",Price is Negotiable,Price is Negotiable,$24.50/sq. ft.
Yonge Eglinton Centre 2300 Yonge Street Toronto M4P 1E4,07-701,"2,046 sq. ft.",$49.60/sq. ft.,$25/sq. ft. net,$24.60/sq. ft.
Yonge Eglinton Centre 2300 Yonge Street Toronto M4P 1E4,07-707,"3,093 sq. ft.",$49.60/sq. ft.,$25/sq. ft. net,$24.60/sq. ft.
Daniels Waterfront 130 Queens Quay E Toronto M5A 3Y5,05-514,"1,115 sq. ft.",Price is Negotiable,Price is Negotiable,$18/sq. ft.
700 Lawrence Avenue W North York M6A 3B4,3-326,"2,059 sq. ft.",$38.73/sq. ft.,$14/sq. ft. net,$24.73/sq. ft.
700 Lawrence Avenue W North York M6A 3B4,3-375,"19,331 sq. ft.",$38.73/sq. ft.,$14/sq. ft. net,$24.73/sq. ft.
700 Lawrence Avenue W North York M6A 3B4,4-420A,"3,929 sq. ft.",$38.73/sq. ft.,$14/sq. ft. net,$24.73/sq. ft.
700 Lawrence Avenue W North York M6A 3B4,4-492,950 sq. ft.,$38.73/sq. ft.,$14/sq. ft. net,$24.73/sq. ft.
700 Lawrence Avenue W North York M6A 3B4,4-498,"3,127 sq. ft.",$38.73/sq. ft.,$14/sq. ft. net,$24.73/sq. ft.
9131 Keele Street Vaughan L4K 0G7,Units B6 & B7,"6,526 sq. ft.",Call for Information,Call for Information,N/A
